velx,vely,velz,accx,accy,accz
-1.250790,-0.441403,-0.262632,1.304730,0.460438,0.273958
-1.149592,-0.405690,-0.241384,1.239222,0.437320,0.260203
-1.039445,-0.366819,-0.218256,1.277260,0.450744,0.268191
-0.909629,-0.321007,-0.190998,1.349878,0.476371,0.283438
-0.739509,-0.260972,-0.155277,1.509880,0.532836,0.317035
-0.454109,-0.160255,-0.095351,1.477853,0.521533,0.310310
0.000000,0.000000,0.000000,1.504994,0.531111,0.316008
0.000000,0.000000,0.000000,0.704300,0.000000,0.000000
0.194256,0.413399,-0.156644,0.682896,1.453275,-0.550673
0.314719,0.669756,-0.253783,0.678924,1.444823,-0.547470
0.386182,0.821837,-0.311409,0.617473,1.314050,-0.497918
0.443472,0.943756,-0.357606,0.636454,1.354442,-0.513223
0.497405,1.058532,-0.401097,0.709279,1.509423,-0.571948
0.544320,1.158372,-0.438928,0.579989,1.234278,-0.467691
0.581726,1.237977,-0.469092,0.537037,1.142873,-0.433055
0.614366,1.307437,-0.495412,0.499341,1.062652,-0.402658
0.643605,1.369661,-0.518990,0.477967,1.017166,-0.385423
0.673099,1.432428,-0.542773,0.556270,1.183803,-0.448565
0.707364,1.505347,-0.570403,0.704673,1.499620,-0.568234
0.738847,1.572347,-0.595791,0.501418,1.067072,-0.404333
0.763786,1.625419,-0.615901,0.495211,1.053862,-0.399328
0.787727,1.676368,-0.635206,0.492805,1.048741,-0.397387
0.807518,1.718485,-0.651165,0.345309,0.734855,-0.278450
0.803560,1.710063,-0.647974,-0.512814,-1.091324,0.413523
0.779928,1.659770,-0.628917,-0.483094,-1.028077,0.389557
0.756990,1.610956,-0.610421,-0.455097,-0.968495,0.366980
0.734727,1.563578,-0.592468,-0.428722,-0.912366,0.345712
0.709641,1.510193,-0.572240,-0.533138,-1.134575,0.429911
0.681951,1.451266,-0.549911,-0.492344,-1.047761,0.397016
0.653149,1.389972,-0.526686,-0.529269,-1.126342,0.426792
0.617393,1.313880,-0.497853,-0.673671,-1.433644,0.543234
0.592076,1.260002,-0.477438,-0.151070,-0.321494,0.121820
0.567525,1.207755,-0.457640,-0.596070,-1.268502,0.480659
0.526326,1.120078,-0.424418,-0.599709,-1.276245,0.483592
0.480221,1.021961,-0.387240,-0.628705,-1.337952,0.506974
0.428371,0.911621,-0.345430,-0.617386,-1.313864,0.497847
0.394770,0.840114,-0.318335,-0.134731,-0.286721,0.108644
0.373261,0.794339,-0.300989,-0.299425,-0.637209,0.241450
0.316090,0.672675,-0.254889,-0.695322,-1.479721,0.560693
0.193787,0.412400,-0.156266,-0.685686,-1.459213,0.552923
0.000000,0.000000,0.000000,-0.686367,-1.460663,0.553472
0.000000,0.000000,0.000000,1.492286,0.000000,0.000000
0.493825,0.003893,0.160216,1.496493,0.011797,0.485520
0.803040,0.006330,0.260537,1.472436,0.011607,0.477715
0.992644,0.007825,0.322052,1.500542,0.011829,0.486834
1.139452,0.008982,0.369682,1.250158,0.009855,0.405600
1.257292,0.009911,0.407914,1.261404,0.009944,0.409248
1.360929,0.010728,0.441538,1.150711,0.009071,0.373335
1.451625,0.011443,0.470963,1.122649,0.008850,0.364231
1.540929,0.012147,0.499937,1.265029,0.009972,0.410424
1.627388,0.012829,0.527988,1.176234,0.009272,0.381616
1.701723,0.013415,0.552105,1.029220,0.008113,0.333919
1.770820,0.013959,0.574522,1.114498,0.008786,0.361586
1.833419,0.014453,0.594832,0.896221,0.007065,0.290769
1.888973,0.014891,0.612856,0.951357,0.007500,0.308657
1.946211,0.015342,0.631426,1.009885,0.007961,0.327646
2.005183,0.015807,0.650559,1.072013,0.008451,0.347802
2.055562,0.016204,0.666904,0.751162,0.005921,0.243706
2.096879,0.016530,0.680308,0.781662,0.006162,0.253601
2.139026,0.016862,0.693983,0.813401,0.006412,0.263899
2.182020,0.017201,0.707932,0.846428,0.006672,0.274614
2.225879,0.017547,0.722161,0.880796,0.006943,0.285764
2.270619,0.017899,0.736677,0.916560,0.007225,0.297368
2.327955,0.018351,0.755279,1.444911,0.011390,0.468785
2.374512,0.018718,0.770383,0.501227,0.003951,0.162617
2.398257,0.018906,0.778087,0.511301,0.004031,0.165886
2.422240,0.019095,0.785868,0.521578,0.004112,0.169220
2.446462,0.019286,0.793727,0.532062,0.004194,0.172622
2.470927,0.019478,0.801664,0.542757,0.004279,0.176091
2.495636,0.019673,0.809681,0.553666,0.004365,0.179631
2.520592,0.019870,0.817777,0.564795,0.004452,0.183241
